UserName,Posts,RecommendedPosts
Vince Miller,['What is the the cost of combining categorical variables?'],"['Understanding decision tree concept', 'Need help in improving accuracy of text classification using Naive Bayes in nltk for movie reviews', 'Accuracy of word and sent tokenize versus custom tokenizers in nltk']"
Debadri Dutta,"['Training of word weights in Word Embedding and Word2Vec', 'Why does Bagging or Boosting algorithm give better accuracy than basic Algorithms in small datasets?', 'Scaling label encoded values for Linear Algorithms', 'Knowing Feature Importance from Sparse Matrix', 'Oversampling before Cross-Validation, is it a problem?', 'PySpark v Pandas Dataframe Memory Issue']",['How to know for sure if we can learn from a given data or not?']
Harigovind Valsakumar,"['I got 100% accuracy on my test set,is there something wrong?']","['StackOverflow Tags Predictor...Suggest an Machine Learning Approach please?', 'Passing TFIDF Feature Vector to a SGDClassifier from sklearn', 'Categorizing Customer Emails']"
Ravi Kumar B,['Integration of NLP and Angular application'],"['Preprocessing data in image segmentation problem', 'Unable to understand the meaning of following lines of the research paper for image segmentation', 'What transforms do we need to apply to masks of images in segmentation tasks']"
Martin Brišiak,['How to detect cardboard boxes using Neural Network'],['How to handle Memory issues in training Word Embeddings on Large Datasets?']
Sabrina Tesla,['Explanations about ADAM Optimizer algorithm'],['Activation Functions']
James Mallett,['Basics: What is the correct sequence for preparing simple data for ML?'],"['How to use correlation matrix when the dataset contains multiple columns with text data?', 'Are there any activation functions which on inputting integer data will produce the output as integers?', 'How to convert Hindi/Telugu/Marathi text to vector for text classification problem?']"
godot,['conv2d function in pytorch'],['Sliding window Algorithm and its convolutional implementation']
Osama Arshad Dar,"['Can Reinforcement learning be applied for time series forecasting?', 'Apache Spark Understanding', 'Alternative to Apache Spark?', 'Deep Learning in Spark Clusters vs on GPUs?', 'Plotting in PySpark?', 'Replacing null with average in pyspark', 'Can ARIMA be applied on a dataset of few months?', 'Amazon SageMaker input data?', 'SageMaker DeepAR access data', 'Can Reinforcement learning be applied in image classification?', 'Keras neural network entirely different results on two different hardwares (one is AWS)', 'Training data : forecasted or actual?', 'Multiply weights after using dropout in training - PyTorch']",['How to know for sure if we can learn from a given data or not?']
invinc4u,['How to choose negative examples for recommendation system?'],"['Is there a standard data science epistemology?', 'Privacy through moving averages?']"
naifmeh,"['Training a LSTM on a time serie containing multiple inputs for each timestep', 'Group neural networks outputs using Keras/Tensorflow']",['LSTM loss function and backpropagation']
Kshitij Yadav,['Different types of analysis which can be done with Webdata of users'],"['Python - Create many dummy variables from one text variable?', 'Do I discard all my dependent variables as proved by chi-squared test of independence?', 'Dealing with new outliers after capping']"
Ethan Yun,"['Data Cleaning for Discrete Features. Data list that contains null or N/A data', 'Hands on Machine Learning with Scikit Learn and TensorFlow Confusion Matrix with VERY BAD score']","['Found array with dim 3. Estimator expected <= 2', ""fitting classifier object of type 'int' has no len()"", 'why the accuracy of LDA model is always changing and also is high', 'which deep learning text classifier is good for health data', 'Evaluating the result of topic modeling in a way that time matters', 'Feeding machine learning model with different matrix']"
Nikhil Pandarge,"['Beginner Question Related To Data Science Course', 'Question Related Numpy']",['Job title similarity']
Gulzar,"['In first visit monte carlo are we assuming the environment is the same over episodes?', 'Why is ""next state"" kept in RL experience replay?', ""Pytorch: How to create an update rule the doesn't come from derivatives?""]",['What is ideal loss scenario for Generative adversarial networks']
Aditya Kadrekar,"['How to handle missing data data in dependent variable?', 'Understanding a dataset (prior to applying ML models) with no metadata given']",['Bad input shape; XGB']
sai saran,['How to identify potential customers who are ready to convert in to paid?'],"['remove special character in a List or String', 'Python Code to find the number of hapax legomena in a Text or Words_List', 'I am getting a Type Error in this Line']"
E. Kenney,['Best Data Science & Machine Learning Conferences 2019?'],['Saving Large Spark ML Pipeline to HDFS']
不是phd的phd,"['Why xgboost can not deal with this simple sentence case?', ""Why ELMo's word embedding can represent the word better than glove?"", 'Why and how BERT can learn different attentions for each head?', ""What's the advantage of multi-gpu training in real?"", 'What is the position embedding code?', 'What is the reason for the speedup of transformer-xl?', 'Can BERT do the next-word-predict task?', 'What is the difference between TextGAN and LM for text generation?', 'The principle of LM deep model', 'How to prepare the data for text generation task', 'Which is better: GPT or RelGAN for text generation?', ""Pytorch's pack_padded_sequence in Tensorflow?"", 'The principle and understanding of adversarial training', 'Why gpt-2 could apply to other tasks without fine-tune?', 'For text match problem, what is the different between question-question match and question-answer match?', 'What can NLI do for a chatbot?', 'Why TREC set two task: document ranking and passage ranking']","['Caffe net.predict() , predict same probability']"
Aalok,['Training multi-label classifier with unbalanced samples in Keras'],['Predict User Demographics from location based social networks']
Tomas Piaggio,['Application of Deep Reinforcement Learning'],"['How can autoencoders be used for clustering?', 'Why use SOM for clustering?']"
Giacomo fava,['How can i use Hellinger Distance on array of different length?'],['Is my data good for (DBSCAN) clustering?']
A.White,"['Does adding new features that contain information derivable from current features help performance?', 'How important is it for each row of data to have the same number of features?', 'How to turn linear regression into logistical regression']","['very important features, but rarely input']"
Gabriel Rambaud,['Excel Data to Venn Diagram'],['Real-time Time-Series Error Correction']
adjective_noun,"['Will a Count vectorizer ever perform (slightly) better than tf-idf?', 'How should I treat these non-English documents in the NLP task?']",['Predicting next medical condition from past conditions in claims data']
Vishal Bajaj,['Expanding mean (target) encoding utilized by CatBoost to deal with high cardinal categorical variables?'],['Gradient descent multidimensional linear regression - does learning rate affects concurrency?']
anomaly_detection,['PCA for unsupervised feature selection'],['Predicting probability for each tag given already chosen tags']
user3714330,['Optimal proportion between the amount of Class = 1 and the amount of Class = 0?'],"['Why might several types of models give almost identical results?', 'Extrapolating GLM coefficients for year a product was sold into future years?']"
Arav,"['how to extract the Top contributing labels/words in universal-sentence-encoder-large - TransformerModel?', 'Feature selection or Dimension reduction in unsupervised learning', 'Not able to sentence encode a list of sentences using multiprocessing technique - pool.map() function in python']",['using classification when there is no dataset + guidance']
Akhilesh Narapareddy,"['What are the limitations while using XGboost algorithm?', 'homogeneity of variance in logistic regression']","['I want to make a text extractor for extracting particular type of text from unstructured text data.', 'How to extract NER from a Spanish language text file?']"
Sidharth Mallick,"[""Why don't we use training/observation data's vector similarity for building models on Tabular data? or if we do , can you name some?""]","['Dissmissing features based on correlation with target variable', 'Detecting redundancy with Pearson correlation in continuous features', 'Ensembling vs clustering in machine learning']"
Nursnaaz,['Why do we reduce magnitude of the coefficient in regression'],"['Running examples from scikit-learn tutorials', 'Face Recognition using eigenfaces and SVM', 'Reshaping of data for deep learning using Keras', 'Cross Validation in Keras', 'Merging large CSV files in Pandas', 'Replacing column values in Pandas', 'String Values in a dataframe in Pandas', 'Regression in Keras', 'Error in model.fit() method in Keras', 'Parameters in GridSearchCV in scikit-learn', 'Splitting Data in scikit-learn', 'Extracting the code from Keras', 'Encoding features in sklearn', 'Using scikit-learn FeatureHasher', 'Feature Engineering', 'Word vectors as input', 'Features of word vectors in word2vec', 'Check for skewness in data', 'Plotting different values in pandas histogram with different colors', 'Plotting two pandas dataframe columns against each other', 'Cross-entropy loss explanation']"
HenryHub,"['openCV tracking algorith & Haar Cascades', 'Calculate image width', 'cv2.error: OpenCV(3.4.3) (-215:Assertion failed) !empty() in function', 'ML regression poor performance', 'Is shuffling training data beneficial for machine learning?', 'keras plotting loss and MSE', 'sklearn preprocessing MinMaxScaler', 'KerasRegressor serialize/save a model as a .h5df', 't - table and degrees of freedom']","['Subset of training set produces good results while full training set produces poor results', 'How to improve an existing (trained) classifier?']"
Ravi kumar,['Regression model Giving the same prediction for all new inputs until i load the model again'],"['why is mse training drastically different from the begining of each training with Encoder-Decoder', 'Encoder-Decoder performance time']"
denislexic,['Causality analysis'],"['Combine two sets of clusters', 'Map similar like clusters in two different cluster sets', 'What is required in Affinity Propagation', 'What are the tools to plot cluster results?', 'What are real world applications of Doc2Vec?', 'Can we apply community detection algorithms for word vector space?', 'What are graph embedding?', 'Identify important less frequent words', 'Text post-processing', 'Rank terms in a bag -of-words model', 'Filter unwanted terms', 'How does Phrases in Gensim work?', 'What is LSTM, BiLSTM and when to use them?', 'Word embedding vectors for keyphrase extraction', 'Simple way to visualise word2vec vector space', 'Identify social users using graph embeddings']"
Rohit Nair,"['Keras exception: Error when checking input: expected dense_input to have shape (2,) but got array with shape (1,)']","['How to model a Bimodal distribution of target variable', 'Feature importance varying a lot using same data with same features', 'LSTM Validation MSE always lower than Train MSE', 'Long term time series forecasts with small dataset', 'Classifier Threshold', 'What are the best ways to use a time series data for binary classification', 'Combining Different Models', 'Time Series Classification using LSTM']"
shenflow,['Cross Entropy vs Entropy (Decision Tree)'],"['A model that only works by setting all initial weights to zero', 'How to get the weights of a linear model by solving normal equation?']"
Blenz,"['Manual feature engineering based on the output', 'Supervised multiclass classification : is ANN a good idea ? or use other classifiers?', 'How to approach a machine learning problem?', 'How to correctly apply the same data transformation , used on the training dataset , on real data in a webservice?', 'What are the crucial steps for creating a recommender system using multiclass classification?', 'Can I create a good Speech Recognition Engine while having millions of recorded conversations?', 'What to use in setting up a Speech to Text engine in production?', 'Training an acoustic model for a speech-to-text engine', 'Categorical vs continuous feature selection/engineering', 'How to deal with new features values in my classification model?', 'Error-analysis and evaluation of a model using Python?', 'Neural network or other algorithms?', 'Predict_proba on a binary classification problem', 'Interpretability of RMSE and R squared scores on cross validation', ""unimportant features impact on model's performance"", 'Probability calibration is worsening my model performance', 'Target mean encoding worse than ordinal encoding with GBDT ( XGBoost, CatBoost )']","[""Model's loss weights"", 'Which convolution should I use? Conv2d or Conv1d', 'Which implementation of word2vec in keras is correct']"
Eswar,['How do we decide on the classification algorithm to use with huge training size?'],"[""How to predict customer's next purchase"", 'Predicting customers purchase', 'How to solve online clustering problem', 'How to select features for Text classification problem', 'How to auto tag texts']"
xvlaze,"['Is the Apriori algorithm suitable for database tuples?', 'Confidence vs. Count in association rule mining: which one is better?']","['what is the difference between ""fully developed decision trees"" and ""shallow decision trees""?', 'Add extra term weight when grouping strings by similarity?', 'What is the One Max Problem in detail?', 'What network is called high-capacity network? Why?', 'How to understand conv layer to another same conv layer in VGG16?', 'Faster-RCNN how anchor work with slider in RPN layer?', 'What is the proper train data format in LSTM?']"
Andreas Mastronikolis,['How do I fit a curve into non linear data?'],"['Understanding Logistic Regression Cost function', 'How to estimate probabilities of different classes for a Text', 'How to use different classes of words in CountVectorizer()', 'Getting unexpected result while using CountVectorizer()', 'Need help with entity tagging']"
Convex Leopard,['Efficient self study plan'],['Is there a rule of thumb when designing neural network in deep reinforcement learning?']
Utsav Patel,"['Accuracy of the model', 'Meaning of confidence interval in seaborn barplot']",['Predict User Demographics from location based social networks']
Sizhe,['Merge and Un-merge multiple models in Keras'],['Bad input shape; XGB']
Nikita Zavyalov,['Determine learned topics in text'],['How can we show that one model might have higher accuracy than another model but at the same time lower AUC?']
Marco Pietrosanto,['Getting the right architecture with dynamic feature selection'],"['Can feature importance change a lot between models?', 'Is correlation needed when building a model?', 'How many datasets are required in a prediction problem?']"
Josh,['Bad input shape; XGB'],"['How to handle missing data data in dependent variable?', 'Understanding a dataset (prior to applying ML models) with no metadata given']"
Daniel Oliveira,['How does TensorFlow differentiate over Gaussian parameters?'],"['Best masters degree in data science and engineering in Europe', 'High Correlation between inputs of neural network']"
zefciu,"['My network optimises for mean_squared_error, but the predictions are useless']",['Cross-validation and out-of-bag bootstrap applications']
taga,"['Accuracy of machine learning models', ""Procedure for selecting optimal number of features with Python's Scikit-Learn""]",['Log and differented Arima model does not fit to actual data (prediction)']
Patrick_Weber,['Best OCR approach on documents with different formats to find one specific information'],"['I got 100% accuracy on my test set,is there something wrong?']"
SRG,['Bias and variance in the model o in the predictions?'],['tensorflow tf.scatter_update over a matrix']
Denis Rozimovschii,['Machine Learning algorithm for detecting anomalies in large sets of events'],['Using machine learning to classify text within javascript?']
yonatanmn,['geo spatial clustering based on another feature'],['predict rank from physical measurements with various lengths']
Shanmuga PriyaV sp,"['Should I load my model pkl object every time when I predict?', 'Can I update my model using partial_fit after training my model using fit?']","['Flexible Discriminant Analysis', 'Why modin.pandas takes more wall time than pandas?']"
helloworld,['Why do seaborn.dist and pyplot.hist generate two different looking histograms on the same data?'],['How to know for sure if we can learn from a given data or not?']
Ethan Shapiro,['Data science degree or Computer Science degree?'],['Calculate the overall accuracy of mined rules using apiriori algorithm']
bemzoo,"['very important features, but rarely input']","['Does adding new features that contain information derivable from current features help performance?', 'How important is it for each row of data to have the same number of features?', 'How to turn linear regression into logistical regression']"
tejal567,['How to reduce an unknown size data into a fixed size data? Please read details'],['What possible data products can be built using this dataset']
untitledprogrammer,['How to select features from text data?'],"[""What's the best way to use binned data in a tree-based model?""]"
Pranav Pandey,['How to know for sure if we can learn from a given data or not?'],"['Visualization using D3', 'Simple Excel Question: VLookup Error', '3D map using leaflet', 'What are the relationships/differences between Bias, Variance and Residuals', 'What is the difference between the 3 architectural components of Microsoft R Server?', 'Are SAS Data Storage Options designed for Big Data?', 'What does Negative Log Likelihood mean?', 'How to measure variance in a classification dataset?', 'Is there a process flow to follow for text analytics?', 'What is the difference between a hashing vectorizer and a tfidf vectorizer', 'Where can I find datasets with labeled duplicate text documents?', 'Online vs Batch Learning in Latent Dirichlet Allocation using Scikit Learn']"
ultron,"['Practical use of oop in R', 'Replacing values in multiple columns of a data frame in R']","['Ethically and Cost-effectively Scaling Data Scrapes', ""How to Interpret Multinomial Specification in R's `mnlogit` package"", 'Data Science in C (or C++)', 'Random Forests with Big Data - number of trees v. number of observations', 'Change raw count to a proportion based on a filter in Tableau', '2 stage ensemble -- CV MSE valid in 1st stage but not in 2nd', ""Which of the 180 algorithms in R's caret package are feasible?"", 'Algorithmic approach to model blending', 'Response variable with very high number of class levels in R', 'Convolutional Neural Networks in R', ""Scala vs Java if you're NOT going to use Spark?"", ""Does MS PowerBI directly connect with Azure's ML workbench?"", 'Random Forest where objective is not to replicate past classifications', 'Alternative to Flesch for a readability score algorithm', ""Google's election results data visualization"", 'What are the ""extra nodes"" in XGboost?', ""Piecing together an equivalent of Google's Data Science / Engineering AIY Computer Viz kit""]"
K48,['Creating the optimal set of utterances to train a natural language processing engine'],"['Analyzing A/B test results which are not normally distributed, using independent t-test']"
E. Kenney,['Best Data Science & Machine Learning Conferences 2019?'],['Saving Large Spark ML Pipeline to HDFS']
Archit Garg,['Binary Classification on small dataset < 200 samples'],['R Script to generate random dataset in 2d space']
user260826,"['Analyzing customer response', 'Data categorization', 'Tag categorizer', 'Creating training data', 'Word analysis in Python', 'Understanding ConfusionMatrix for Google Prediction API', 'How to classify support call texts?', 'Newsgroup classification', 'Stackoverflow API Structure data storage', 'Similarity between two words', 'Music corpus sentence level clustering', 'Sentence similarity', 'Binary classification problem', 'Text processing', 'Price prediction based on historic data', 'Google Cloud NLP PERSON entities', 'LSTM text generation', 'ML project ideas for dataset', 'Text comparison using word embeddings', 'Multivariable real time system for fraud detection', 'Predicting with categorical data', 'Compare image similarity in Python', 'Data preparation for Regression Model', 'Grouping company information', 'Logistic Regression with Tensorflow', 'Census dataset alternatives']",['Multiple labels in supervised learning algorithm']
Sourabh,['Unable to understand the usage of labels argument in sklearn.metrics.f1_score'],['Scikit Learn: KMeans Clustering 3D data over a time period (dimentionality reduction?)']
Andrew King,['Do Convolution Layers in a CNN Treat the Previous Layer Outputs as Channels?'],"['Machine Learning on financial big data', 'Dividing percentage', 'ValueError when doing validation with random forests']"
Josh,['Bad input shape; XGB'],"['R and Python, memory differences yielding performance differences', 'Scikit-learn: Getting SGDClassifier to predict as well as a Logistic Regression', 'Purpose of visualizing high dimensional data?']"
Vivek Gupta,"['Why Logistic regression into Spark Mllib does not use Maximum likelihood estimation?', 'Is there any technique, which can decide no. of bags for Bagged Logistic regression?']","['Random Forest, Type - Regression, Calculation of Importance Example', 'Assumptions/Limitations of Random Forest Models']"
user3507584,['Cluster a categorical variable without breaking the existing categories'],['Looking for language and framework for data munging/wrangling']
Thomas Lee,"['Can feature importance change a lot between models?', 'Is correlation needed when building a model?', 'How many datasets are required in a prediction problem?']",['Fit to a power law']
Harigovind Valsakumar,"['I got 100% accuracy on my test set,is there something wrong?']","['StackOverflow Tags Predictor...Suggest an Machine Learning Approach please?', 'Passing TFIDF Feature Vector to a SGDClassifier from sklearn', 'Categorizing Customer Emails']"
rahul,['Not able to interpret decision tree when using class_weights'],"['Practical use of oop in R', 'Replacing values in multiple columns of a data frame in R']"
0111001101110000,"['Modelling on one Population and Evaluating on another Population', 'How do I forecast sales data down to the individual item?']","['Classifying multilabel images with TensorFlow', 'Adding multilabel classifier to TensorFlow example', 'Obtaining datasets of photos of people and car license plates', 'Breaking down a column in Pandas into a separate CSV for display in Tableau']"
Sreejithc321,"['Recommendation engine with mahout', 'Creating Data model for mahout recommendation engine', 'Evaluating Recommendation engines', 'Mahout Similarity algorithm comparison', 'N - fold cross validation in mahout', 'Item based and user based recommendation difference in Mahout', 'Python interface to Titan Database', 'Neo4j vs OrientDB vs Titan', 'Querying DBpedia from Python', 'Basic ML based Prediction model', 'Choosing best methods for estimating the unknown parameters in a linear regression model', 'NER on Twitter data', 'GATE with Python', 'Creating validation data for model comparison', 'Building Recommendation engine with Python', 'collaborative filtering using graph and machine learning', 'Make use of relationships on recommendation systems', 'Content based recommendation on Mahout', 'K Means giving poor results', 'Determinate K in K-Means Clustering', 'Creating Domain specific Question Answering Systems', 'Approaches for implementing Domain specific Question answering System', 'State of the art approaches for Information retrieval tasks based on deep learning', 'Stanford parser Python : Combine NER and POS tags', 'Deploying models on bigdata platforms like Hadoop and Spark', 'How to create a model that can have multiple labels associated to it?', 'Categorical data in Kmeans', 'Eigenvectors and eigenvalues for natural language processing', 'Neo4j graph to cypher conversion', 'Bias in Naive Bayes classifier', 'Handling data imbalance and class number for classification', 'Efficient way to search list of items in a text document', 'Checkpoints in Sklearn', 'Single Word Classifier']","['Extract the ""path"" of a data point through a decision tree in sklearn', 'Slow convergence with rpart', 'ARIMAX with spark-timeseries', 'ARIMAX v. ARX Time Series Modeling', 'Neural Network Timeseries Modeling with Predictor Variables', 'ARIMA(X) Validation']"
yu.sun,['How to check and correct misspelling in the data of pairs of words?'],"['Canopy clustering implementation in Python', 'Given one language ngram model, how do I compare likelihoods of two texts of different length?', 'Books/reviews/papers on recommending groups of items?', 'Viterbi-like algorithm suggesting top-N probable state sequences implementation', 'Is there ""Attention Is All You Need"" implementation in Keras?']"
arjun,"['Dictionary based statistical NER learner', 'Applying bayesian methods to a simple neural network']",['What Naive Bayes method is being used in this example?']
rlc,['How to Improve Low Accuracy Keras Model Design?'],['What is the difference between affinity matrix eigenvectors and graph Laplacian eigenvectors in the context of spectral clustering?']
Bolboa,"['Evaluating value functions in RL', 'How to set hyperparameters in SVM classification', 'Hinge Loss understanding and proof']","[""You are in charge of investing Chipotle's E-Coli source/s, what methods do you use?""]"
Salvador Dali,['Multiple labels in supervised learning algorithm'],"['Analyzing customer response', 'Data categorization', 'Tag categorizer', 'Creating training data', 'Word analysis in Python', 'Understanding ConfusionMatrix for Google Prediction API', 'How to classify support call texts?', 'Newsgroup classification', 'Stackoverflow API Structure data storage', 'Similarity between two words', 'Music corpus sentence level clustering', 'Sentence similarity', 'Binary classification problem', 'Text processing', 'Price prediction based on historic data', 'Google Cloud NLP PERSON entities', 'LSTM text generation', 'ML project ideas for dataset', 'Text comparison using word embeddings', 'Multivariable real time system for fraud detection', 'Predicting with categorical data', 'Compare image similarity in Python', 'Data preparation for Regression Model', 'Grouping company information', 'Logistic Regression with Tensorflow', 'Census dataset alternatives']"
BadProgrammer99,['Why do so many functions used in data science have derivatives of the form f(x)*(1-f(x))?'],"['Document parsing modeling and approach?', 'Classify samples based on other sample probabilities']"
Sreejithc321,"['Recommendation engine with mahout', 'Creating Data model for mahout recommendation engine', 'Evaluating Recommendation engines', 'Mahout Similarity algorithm comparison', 'N - fold cross validation in mahout', 'Item based and user based recommendation difference in Mahout', 'Python interface to Titan Database', 'Neo4j vs OrientDB vs Titan', 'Querying DBpedia from Python', 'Basic ML based Prediction model', 'Choosing best methods for estimating the unknown parameters in a linear regression model', 'NER on Twitter data', 'GATE with Python', 'Creating validation data for model comparison', 'Building Recommendation engine with Python', 'collaborative filtering using graph and machine learning', 'Make use of relationships on recommendation systems', 'Content based recommendation on Mahout', 'K Means giving poor results', 'Determinate K in K-Means Clustering', 'Creating Domain specific Question Answering Systems', 'Approaches for implementing Domain specific Question answering System', 'State of the art approaches for Information retrieval tasks based on deep learning', 'Stanford parser Python : Combine NER and POS tags', 'Deploying models on bigdata platforms like Hadoop and Spark', 'How to create a model that can have multiple labels associated to it?', 'Categorical data in Kmeans', 'Eigenvectors and eigenvalues for natural language processing', 'Neo4j graph to cypher conversion', 'Bias in Naive Bayes classifier', 'Handling data imbalance and class number for classification', 'Efficient way to search list of items in a text document', 'Checkpoints in Sklearn', 'Single Word Classifier']","['Can we take of benefit of using transfer learning while training a word2vec models?', 'How to initialize a new word2vec model with pre-trained model weights?', 'Is there any implementation of Recursive Auto Encoders in Tensorflow?']"
Pranav Pandey,['How to know for sure if we can learn from a given data or not?'],['Core components of data literacy for working professionals']
hackerbuddy,['Extract Domain related words'],['Preprocessing text before use RNN']
Sanjeev,['How to extract paragraphs from text document?'],"['Visualizing N-way frequency table as a Decision Tree in R', 'Binning of Continous Predictor and Predicted Variables']"
SHASHANK GUPTA,"['$\\chi^{2}$ kernel SVM performance issue', 'PCA on MNIST dataset results in very poor performance', 'Deep Learning for Recommender System', 'One-Hot Vector representation vs Label Encoding for Categorical Variables', 'Can we compare a word2vec vector with a doc2vec vector?', 'Optimizing co-occurrence matrix computation', 'Image Captioning in Keras', 'Problem in constructing co-occurence matrix', 'Mean vs Sum of cost in theano', 'Vectorizing equation in MATLAB', 'DIfferent learning rates converging to same minima', 'Reason for better performance of variants of SGD when local minimas of Neural Nets are equivalent?', ""Principle behind seq2seq model's example in keras?"", ""Getting uniform distribution over topics from gensim's LDA?"", 'Classifier on top of LDA topic vectors?', 'applying convolutional neural network over text documents using 1-D tf-idf feature vectors', 'Best tool for text pre-processing, involving tokenization, lemmatization, stop-word removal, feature vector extraction?', 'Micro Average vs Macro average Performance in a Multiclass classification setting', 'Gensim word2vec training error on tweets', 'Can SMOTE be applied over sequence of words (sentences)?', 'Best way to tokenize tweet', 'Multi-task learning for Multi-label classification?']","['How to perform model selection for One-Class Classification?', ""Derivation of Ward's formula for agglomerative clustering"", 'How to handle non-stationary data in online neural network based one-class classifier for anomaly detection?', 'How to calculate inverse of square matrix for streaming or online data as all data are not available at once?', 'Why does my master node get heap memory full for inbuilt SVD API in Apache Spark during calculation of inverse of a square matrix?', 'Whether AUC can be calculated as average of sensitivity and specificity or not?', 'Whether solution of Kernel ridge regression through inverse calculation yields global optimal solution or not?', 'Does it matter whether we put regularization parameter ($C$) with error or weight term in Kernel ridge regression?']"
Nicolas Cardenas,['Predict User Demographics from location based social networks'],['Redundancy - is it a big problem?']
Martin Brišiak,['How to detect cardboard boxes using Neural Network'],['How to handle Memory issues in training Word Embeddings on Large Datasets?']
errolflynn,['Deep RL: Proximal policy optimization gradient calculation'],"['Using Neural Networks to extract multiple parameters from images', 'Neural Net for regression task on images only learning mean of training data']"
Ashwin V,"['Understanding decision tree concept', 'Need help in improving accuracy of text classification using Naive Bayes in nltk for movie reviews', 'Accuracy of word and sent tokenize versus custom tokenizers in nltk']",['Theano vs Tensorflow for building Neural Networks for NLP tasks']
ahajib,"['Time series prediction using ARIMA vs LSTM', 'Using RNN (LSTM) for predicting one future value of a time series']",['Calculate cosine similarity in Apache Spark']
errolflynn,['Deep RL: Proximal policy optimization gradient calculation'],['How exactly does a validation data-set work work in machine learning?']
Gaurav Singhal,"['Random Forest, Type - Regression, Calculation of Importance Example', 'Assumptions/Limitations of Random Forest Models']","['Why Logistic regression into Spark Mllib does not use Maximum likelihood estimation?', 'Is there any technique, which can decide no. of bags for Bagged Logistic regression?']"
Nain,"['Running examples from scikit-learn tutorials', 'Face Recognition using eigenfaces and SVM', 'Reshaping of data for deep learning using Keras', 'Cross Validation in Keras', 'Merging large CSV files in Pandas', 'Replacing column values in Pandas', 'String Values in a dataframe in Pandas', 'Regression in Keras', 'Error in model.fit() method in Keras', 'Parameters in GridSearchCV in scikit-learn', 'Splitting Data in scikit-learn', 'Extracting the code from Keras', 'Encoding features in sklearn', 'Using scikit-learn FeatureHasher', 'Feature Engineering', 'Word vectors as input', 'Features of word vectors in word2vec', 'Check for skewness in data', 'Plotting different values in pandas histogram with different colors', 'Plotting two pandas dataframe columns against each other', 'Cross-entropy loss explanation']","[""Model for 'Pattern to Pattern'?"", 'How to verify hand written signature?']"
riders994,['How to Create Shared Weights Layer in Keras'],"[""Why does Keras' Model() have an inputs parameter?""]"
Malintha,['[Keras][LSTM] error due to shape mismatch'],['Learning Algorithm that decide which model gives better results for each testing instance']
Raven Cheuk,"['A model that only works by setting all initial weights to zero', 'How to get the weights of a linear model by solving normal equation?']","['How to Interpret the output of PCA?', 'Which Clustering algorithm to use for unique 4Dimension dataset before feeding to correlation?', 'How is PCA is different from SubSpace clustering and how do we extract variables responsible for the first PCA component?']"
Nikhil Katre,['R Script to generate random dataset in 2d space'],['Binary Classification on small dataset < 200 samples']
The Lyrist,['Strategies for continuously assessing and improving model performance'],['Pattern Recognition on Financial Market']
Pranav Pandey,['How to know for sure if we can learn from a given data or not?'],"['Do modern R and/or Python libraries make SQL obsolete?', 'Advantages of Binary Rating System for Collaborative Filtering Recommender Systems']"
metdos,['How to optimize for time correlated hidden function - the magical candy machine'],"['Which type of regression has the best predictive power for extrapolating for smaller values?', 'Which is the best type of curve for these peaks on the waveform?', 'Which type of classification best suits this scatter plot?']"
Q-bart,['Recognize polygons and get coordinates on transparent image'],"['Methods for string classifications', 'Handling large imbalanced data set', 'Restrictions on my skewed validation data', 'Metrics show badly performing model for multiclass']"
user3711518,"['Identity covariance matrix, decorrelated data?']","['Similarity between an n-dimensional curve and selected subsets of them', 'Feature selection on n different values', 'Keras LSTM model for binary classification with sequences', 'Binary classification of every time series step based on past and future values', 'Batch processing with variable length sequences']"
Mayur Kulkarni,['Intuitive explanation of Lovasz Softmax loss for Image Segmentation problems'],['How to determine the complexity of an English sentence?']
Sridhar Thiagarajan,['Categorical Variables - Classification'],"['AUC and classification report in Logistic regression in python', 'Imbalanced dataset in MLP classifier in python']"
nkhuyu,"['What are some good error metrics for multi-label (not mutli-class) problem in industry?', 'Xgboost (classification problem) feature importance per input not for the model', 'Model localization: one big model vs two small models']",['Advice on what Machine Learning Algorithms to study for a Job to candidate matching algorithm']
robinloop,"['Why TF-IDF is working with Sentiment Analysis?', 'How can I augment my image data?', 'Load keras model in Java']","['Should I eliminate all ID columns and similar columns from training data?', 'MinMaxScaler returned values greater than one', 'How to deal with missing data for only some categories', 'Target data values are not evenly distributed', 'How to fill missing numeric if any value in a subset is missing, all other columns with the same subset are missing', 'How to learn from time series with multiple values for each time points', 'Can RNN learn for each `t` in time from a whole new dataset (many entries)', 'Predicting on real test set gives only very high probability for 1 for a very unbalanced data', 'Any consideration for image classification when one class has generally one particular color', 'How to benefit Data augmentation when it yields to different classes', 'How to help neuronal network with an other model', 'Can I specify the order of yielded instances using keras ImageDataGenerator#flow_from_directory', 'Keras/TF: Making sure image training data shape is accurate for Time Distributed CNN+LSTM', 'The proper way to codify Na in a list in R', 'Any special considerations on learning based on a cyclic timeseries using LSTM?', 'Is it good in general to subtract background from a sequence of images for learning?', 'Add features from a timeserie target to train set', 'How can I enrich train data in case of cnn using target and time features', 'Remedies to CNN-LSTM overfitting on relatively small image dataset', ""Can we use ReLU activation function as the output layer's non-linearity?""]"
SSMK,"['Multivariate time Series classification - One class', 'Books on time series and sequence classification', 'Converting our model to other formats']",['What is the rationale for discretization of continuous features and when should it be done?']
