Similar_Users,User1_id,User1_post,user1_Tags,user2_id,User2_post,user2_Tags
"(8814, 45711)",8814,[5386],machine-learning dataset statistics correlation deep-learning,45711,none,none
"(8820, 59681)",8820,"[6107, 8642, 8855, 9073, 9074, 9172, 9175, 9177, 9195, 9212, 9233, 9302, 9406, 9495, 9510, 9512, 9528, 9617, 9672, 9818, 9832, 9869, 9930, 10000, 10064, 10127, 10147, 10151, 10204, 10250, 10286, 11379, 11628, 11657, 11716, 12687, 12830, 12851, 13029, 13231, 13438, 13450, 13556, 13864, 14524, 15081, 15091, 15188, 15214, 15215, 15328, 16045, 16088, 16165, 16184, 16187, 16292, 16411, 16797, 17079, 17421, 17953, 17987, 18217, 18414, 18557, 18583, 18840, 20271, 22312, 23933, 23954, 24414, 24484, 24513, 24728, 24760, 25439, 26468, 27495, 27686, 28328, 30233, 30377, 30859, 31212, 33747, 36001, 36568, 42760, 43121, 43332, 43392, 45854, 48411, 49581, 54576, 54811, 55181, 56167, 57191]",neural-network convnet convolution machine-learning classification machine-learning neural-network convnet dataset image-classification classification terminology clustering k-means distance neural-network convnet k-means neural-network computer-vision convnet regularization dropout machine-learning convnet machine-learning neural-network machine-learning tensorflow predictive-modeling regression decision-trees machine-learning neural-network tensorflow machine-learning neural-network terminology machine-learning classification svm machine-learning svm machine-learning markov pgm machine-learning neural-network machine-learning pgm machine-learning reinforcement-learning machine-learning neural-network reference-request machine-learning neural-network bayesian-networks pgm bayesian-networks machine-learning rbm neural-network machine-learning neural-network machine-learning neural-network terminology neural-network optimization gradient-descent decision-trees clustering clustering association-rules accuracy classification definitions neural-network convnet machine-learning neural-network deep-learning visualization reinforcement-learning q-learning image-classification dataset image-classification dataset image-classification dataset image-classification dataset image-classification convnet neural-network convnet gradient-descent convnet convnet convnet dataset convnet computer-vision image-recognition image-classification convnet computer-vision inception dropout reference-request books genetic-algorithms neural-network deep-learning computer-vision neural-network convnet convnet image-classification cnn convnet data terminology computer-vision visualization confusion-matrix image-classification computer-vision reference-request dimensionality-reduction tsne neural-network machine-learning keras neural-network deep-learning convnet optimization neural-network neural-network classification svm lda-classifier perceptron neural-network numerical classification scoring feature-engineering feature-selection reinforcement-learning neural-network reinforcement-learning keras-rl openai-gym dqn neural-network regression noise algorithms anomaly-detection outlier terminology definitions reinforcement-learning evaluation computer-vision experiments hardware reference-request definitions ai neural-network correlation decision-trees boosting xgboost optimization objective-function machine-learning neural-network cnn reference-request transfer-learning machine-learning neural-network prediction forecast reference-request forecasting definitions neural-network dropout machine-learning clustering pca genetic-algorithms regression metric visualization visualization reference-request clustering reference-request terminology python text-mining recommender-system math bigdata image-recognition search scalability recommender-system matrix-factorisation latent-space recommender-system movielens terminology features recommender-system nlp nltk stemming,59681,none,none
"(8823, 39738)",8823,none,none,39738,[23343],decision-trees xgboost
"(8841, 13108)",8841,[32328],python pandas data-wrangling,13108,none,none
"(8842, 74042)",8842,"[5404, 8772]",data-mining r algorithms algorithms,74042,none,none
"(8869, 13949)",8869,[5417],machine-learning classification distributed data-stream-mining apache-spark,13949,none,none
"(8878, 10156)",8878,[6052],python nlp text-mining,10156,none,none
"(8879, 177)",8879,none,none,177,[47636],visualization outlier distribution
"(8892, 31437)",8892,none,none,31437,[18515],machine-learning neural-network classification tensorflow scikit-learn
"(8901, 26515)",8901,none,none,26515,[15363],machine-learning predictive-modeling categorical-data
"(8921, 27558)",8921,none,none,27558,[57879],pandas apache-hadoop pyspark sql
"(8928, 1093)",8928,none,none,1093,"[9397, 9539, 10011, 56608, 57194]",python categorical-data scikit-learn feature-engineering python categorical-data scikit-learn statistics cross-validation evaluation machine-learning python optimization convergence survival-analysis python visualization correlation matplotlib heatmap
"(8944, 73539)",8944,[5443],tools career excel,73539,[51295],python pandas dummy-variables
"(8948, 32257)",8948,[5462],nlp parsing,32257,none,none
"(8949, 61413)",8949,none,none,61413,[44223],machine-learning-model data-science-model model-selection ensemble-modeling
"(8951, 24870)",8951,"[5459, 5514]",sampling sas processing,24870,none,none
"(8956, 39324)",8956,[13030],machine-learning neural-network word2vec language-model,39324,none,none
"(8972, 10882)",8972,none,none,10882,[6578],classification
"(8996, 16579)",8996,none,none,16579,[17641],python r scikit-learn random-forest
"(8999, 58161)",8999,[6202],clustering orange,58161,none,none
"(9013, 42953)",9013,none,none,42953,"[26076, 26471, 26568, 27378, 27555, 36872, 37476, 38499, 41090]",deep-learning reinforcement-learning reinforcement-learning q-learning reinforcement-learning q-learning reinforcement-learning online-learning reinforcement-learning reinforcement-learning reinforcement-learning reinforcement-learning policy-gradients reinforcement-learning policy-gradients actor-critic
"(9021, 30786)",9021,none,none,30786,[23872],r clustering k-means categorical-data
"(9026, 9947)",9026,none,none,9947,"[5985, 6006]",visualization visualization
"(9035, 3323)",9035,"[5737, 6727, 8313, 9481]",data-mining python csv data-mining nlp text-mining data-mining statistics csv,3323,none,none
"(9049, 16640)",9049,none,none,16640,[10455],data-cleaning
"(9054, 30376)",9054,none,none,30376,"[17873, 17910, 18437, 18518]",unbalanced-classes sampling classification logistic-regression unbalanced-classes random-forest logistic-regression unbalanced-classes feature-selection random-forest logistic-regression
"(9060, 32989)",9060,none,none,32989,"[19442, 19715, 19997, 20404, 33976, 34149, 39307, 39868, 41773, 43195]",neural-network multiclass-classification object-recognition feature-selection machine-learning neural-network deep-learning cnn convolution convolution machine-learning neural-network cnn gan generative-models neural-network generative-models machine-learning recommender-system feature-extraction training automation classification scikit-learn svm image-recognition embeddings
"(9061, 78693)",9061,[6590],svm feature-selection scikit-learn,78693,none,none
"(9063, 2756)",9063,none,none,2756,[895],graphs
"(9089, 54534)",9089,none,none,54534,"[33969, 34130, 34306]",machine-learning random-forest decision-trees machine-learning decision-trees xgboost normalization dataset bigdata metric
"(9091, 2781)",9091,none,none,2781,[866],machine-learning r
"(9105, 15933)",9105,[5524],r,15933,[10804],statistics time-series experiments ab-test
"(9112, 16640)",9112,none,none,16640,[10455],data-cleaning
"(9113, 339)",9113,none,none,339,"[227, 228, 8402]",bigdata efficiency apache-hadoop distributed bigdata apache-hadoop apache-spark
"(9123, 9313)",9123,"[5972, 6172, 8357, 9036, 11178, 13687]",machine-learning classification text-mining machine-learning classification bioinformatics data machine-learning model-selection hyperparameter markov machine-learning nlp neural-network deep-learning,9313,none,none
"(9129, 31043)",9129,none,none,31043,[37738],machine-learning neural-network deep-learning data learning
"(9141, 27310)",9141,none,none,27310,[15881],orange
"(9165, 23296)",9165,[16825],weka,23296,none,none
"(9167, 53358)",9167,"[5547, 6108]",classification python neural-network image-classification machine-learning python deep-learning image-classification,53358,none,none
"(9169, 66308)",9169,none,none,66308,[44968],python pandas simulation monte-carlo
"(9174, 43681)",9174,"[5581, 5610, 37395]",data-mining machine-learning classification data-mining,43681,"[25924, 49108]",python bigdata pandas jupyter python pandas regex
"(9191, 78527)",9191,[14495],classification data-cleaning,78527,none,none
"(9192, 39934)",9192,none,none,39934,[48100],nlp word-embeddings bert
"(9195, 13237)",9195,none,none,13237,"[28342, 28411]",gradient-descent machine-learning neural-network deep-learning scikit-learn gradient-descent
"(9197, 15421)",9197,"[9715, 9731, 10040, 11212, 12693, 17480]",machine-learning neural-network online-learning neural-network backpropagation classification neural-network autoencoder clustering linear-regression decision-trees ensemble-modeling deep-learning convnet embeddings,15421,none,none
"(9220, 66271)",9220,[5567],machine-learning neural-network deep-learning,66271,none,none
"(9221, 71677)",9221,none,none,71677,[49485],keras tensorflow
"(9225, 12674)",9225,"[5663, 6206, 6340, 6391]",bigdata beginner social-network-analysis dataset neural-network machine-learning r neural-network predictive-modeling performance machine-learning r neural-network predictive-modeling forecast,12674,none,none
"(9257, 47167)",9257,"[5590, 6859, 10552, 27422, 33207, 38651]",data-mining dataset beginner feature-scaling clustering clustering supervised-learning semi-supervised-learning similarity dimensionality-reduction clustering evaluation feature-selection feature-reduction,47167,none,none
"(9270, 26642)",9270,[14849],nlp,26642,none,none
"(9281, 56336)",9281,[5601],classification python svm,56336,none,none
"(9304, 8087)",9304,[8384],bigdata,8087,none,none
"(9307, 13330)",9307,none,none,13330,[26223],machine-learning python linear-regression
"(9316, 14893)",9316,[46963],keras,14893,none,none
"(9328, 29033)",9328,none,none,29033,"[31597, 40840, 47014]",machine-learning classification regression prediction python predictive-modeling prediction data-science-model
"(9339, 35544)",9339,none,none,35544,[27964],machine-learning neural-network deep-learning cloud-computing colab
"(9345, 30370)",9345,none,none,30370,"[17868, 17891]",machine-learning r classification machine-learning r classification gbm
"(9420, 73927)",9420,[12790],data-cleaning normalization etl,73927,none,none
"(9486, 38683)",9486,"[5701, 6183]",tools text-mining definitions terminology,38683,none,none
"(9503, 27)",9503,[9285],terminology,27,none,none
"(9510, 28386)",9510,[5715],apache-spark,28386,none,none
"(9511, 21563)",9511,"[5718, 5804]",python nlp python nlp nltk,21563,none,none
"(9521, 8808)",9521,"[5725, 5856]",machine-learning machine-learning definitions knowledge-base,8808,none,none
"(9534, 18911)",9534,[5730],machine-learning classification clustering,18911,none,none
"(9540, 33448)",9540,[8871],predictive-modeling reference-request,33448,[20409],r data-mining statistics
"(9547, 31043)",9547,none,none,31043,[37738],machine-learning neural-network deep-learning data learning
"(9551, 75861)",9551,none,none,75861,[56735],machine-learning python overfitting kaggle
"(9565, 4712)",9565,[18360],text-mining unbalanced-classes multilabel-classification missing-data,4712,none,none
"(9580, 68818)",9580,none,none,68818,[46619],machine-learning text-mining natural-language-process
"(9583, 42774)",9583,none,none,42774,[27740],machine-learning python linear-regression matplotlib
"(9595, 68402)",9595,[5776],r logistic-regression,68402,none,none
"(9602, 64711)",9602,none,none,64711,[43009],data-mining visualization
"(9610, 57618)",9610,none,none,57618,"[36895, 39065]",deep-learning lstm training recurrent-neural-net lstm correlation forecasting
"(9613, 43463)",9613,none,none,43463,[25766],r plotting
"(9618, 58323)",9618,"[5791, 11942, 25823]",machine-learning python nlp scikit-learn nlp,58323,none,none
"(9637, 23164)",9637,"[5799, 6113]",machine-learning classification algorithms graphs machine-learning clustering sequence,23164,none,none
"(9647, 7830)",9647,none,none,7830,[14964],machine-learning classification scikit-learn decision-trees
"(9670, 27)",9670,[9827],python scikit-learn,27,none,none
"(9684, 37122)",9684,[5817],data-mining dataset regression correlation visualization,37122,none,none
"(9693, 70894)",9693,[5822],r markov-process,70894,none,none
"(9700, 31975)",9700,none,none,31975,[18788],machine-learning bigdata time-series tensorflow data
"(9714, 43113)",9714,[5833],machine-learning classification,43113,none,none
"(9726, 47473)",9726,none,none,47473,"[28818, 29051, 29139]",random-forest feature-engineering naive-bayes-classifier ranking machine-learning predictive-modeling feature-selection classification predictive-modeling dataset time-series regression
"(9728, 53037)",9728,"[6089, 15327, 15635]",statistics predictive-modeling regression machine-learning bigdata apache-spark parallel machine-learning supervised-learning evaluation regularization overfitting,53037,none,none
"(9746, 66061)",9746,none,none,66061,[44174],bigdata data aggregation
"(9769, 67480)",9769,"[5863, 5987]",machine-learning neural-network machine-learning data-mining neural-network deep-learning,67480,none,none
"(9772, 14327)",9772,none,none,14327,[9012],r csv
"(9774, 41459)",9774,"[10674, 10676, 11057]",feature-selection correlation feature-engineering feature-selection correlation feature-engineering machine-learning clustering ensemble-modeling,41459,none,none
"(9802, 40456)",9802,"[5885, 28200]",machine-learning neural-network feature-scaling normalization javascript machine-learning classification time-series unbalanced-classes class-imbalance,40456,none,none
"(9807, 3041)",9807,[5890],machine-learning data-mining nlp text-mining,3041,none,none
"(9814, 41306)",9814,[11329],reinforcement-learning q-learning,41306,"[24276, 31448]",neural-network regression nlp named-entity-recognition
"(9818, 21473)",9818,none,none,21473,[13304],statistics ab-test experiments
"(9831, 10992)",9831,none,none,10992,[15055],data-mining text-mining data-cleaning
"(9834, 18665)",9834,none,none,18665,"[11729, 17052]",python nlp nltk machine-learning recommender-system training
"(9847, 4955)",9847,[23721],scikit-learn kaggle,4955,none,none
"(9852, 15295)",9852,[5916],machine-learning clustering scikit-learn,15295,none,none
"(9853, 200)",9853,none,none,200,"[107, 184]",tools data-stream-mining tools
"(9863, 46282)",9863,none,none,46282,"[43945, 43963, 44123]",python scikit-learn pandas numpy ensemble parallel boosting
"(9867, 10924)",9867,"[8444, 16234]",r visualization dimensionality-reduction social-network-analysis,10924,none,none
"(9907, 60621)",9907,[5964],clustering,60621,[41986],dataset
"(9909, 23673)",9909,none,none,23673,[13882],career definitions
"(9911, 25905)",9911,none,none,25905,[40487],machine-learning feature-selection decision-trees feature-engineering loss-function
"(9928, 1113)",9928,[5981],classification,1113,none,none
"(9941, 24053)",9941,"[5983, 6015]",machine-learning r logistic-regression random-forest random-forest ensemble-modeling,24053,"[13854, 14078]",machine-learning r apache-spark logistic-regression machine-learning logistic-regression
"(9947, 17467)",9947,"[5985, 6006]",visualization visualization,17467,none,none
"(9958, -1)",9958,[5991],machine-learning dataset multiclass-classification,-1,none,none
"(9966, 24972)",9966,[6004],data-mining text-mining feature-selection feature-extraction,24972,none,none
"(9988, 80105)",9988,"[6016, 6044, 6051, 10972, 24242, 24243, 25184, 26360, 31580, 33171]",machine-learning data-mining machine-learning java machine-learning machine-learning pandas python pandas python pandas machine-learning neural-network regression decision-trees xgboost scikit-learn k-nn python pandas dataframe,80105,none,none
"(10024, 23596)",10024,"[9335, 11381, 16805]",r text-mining visualization graphs feature-extraction python algorithms,23596,none,none
"(10030, 16640)",10030,none,none,16640,[10455],data-cleaning
"(10032, 10992)",10032,none,none,10992,[15055],data-mining text-mining data-cleaning
"(10049, 14107)",10049,"[11400, 11721, 12674, 12707, 14433]",machine-learning neural-network probability bayesian-networks difference machine-learning data-mining predictive-modeling dataset data machine-learning predictive-modeling statistics algorithms regression machine-learning classification random-forest decision-trees preprocessing machine-learning classification decision-trees information-theory,14107,none,none
"(10050, 31043)",10050,"[6865, 6894, 6950]",r logistic-regression sas r logistic-regression r classification logistic-regression,31043,[37738],machine-learning neural-network deep-learning data learning
"(10052, 77144)",10052,none,none,77144,[55038],dataset
"(10054, 42819)",10054,none,none,42819,[25360],infographics
"(10081, 29169)",10081,none,none,29169,"[17066, 17095, 17233, 17375, 17479, 33051, 35555, 45668]",orange orange orange pip orange orange python pandas python pandas jupyter ipython machine-learning scikit-learn ridge-regression
"(10088, 345)",10088,[56129],scikit-learn learning-to-rank,345,none,none
"(10094, -1)",10094,"[6472, 8247, 9109, 17110]",python python scikit-learn data optimization hyperparameter genetic-algorithms predictive-modeling deep-learning image-classification image-recognition,-1,none,none
"(10098, 5179)",10098,none,none,5179,[17508],python r linear-regression
"(10102, 12367)",10102,[6188],machine-learning data-mining python,12367,none,none
"(10121, 17794)",10121,none,none,17794,"[11950, 12272]",time-series apache-spark multiclass-classification scala time-series feature-extraction multiclass-classification
"(10127, 40684)",10127,[6092],machine-learning dataset cross-validation reinforcement-learning,40684,none,none
"(10155, 15142)",10155,"[12348, 15436]",data-mining data beginner machine-learning predictive-modeling time-series cross-validation,15142,none,none
"(10156, 8878)",10156,none,none,8878,[6052],python nlp text-mining
"(10157, 67219)",10157,none,none,67219,"[45475, 45987, 46704]",nlp attention-mechanism machine-learning natural-language-process nlp lstm
"(10163, 41136)",10163,[15749],model-selection,41136,none,none
"(10181, 67165)",10181,[8016],bigdata definitions terminology history,67165,none,none
"(10205, 23305)",10205,none,none,23305,"[14595, 16938, 19191, 22853, 31833, 47806]",machine-learning reference-request software-development machine-learning predictive-modeling supervised-learning machine-learning dataset categorical-data preprocessing machine-learning deep-learning optimization convergence scikit-learn parallel machine-learning predictive-modeling statistics
"(10232, 65894)",10232,"[6153, 8616]",neural-network neural-network statistics nlp,65894,none,none
"(10245, 67367)",10245,[9705],data-mining predictive-modeling accuracy,67367,none,none
"(10277, 28732)",10277,none,none,28732,[16819],machine-learning python neural-network deep-learning scikit-learn
"(10285, 15031)",10285,[47435],neural-network cnn pytorch,15031,none,none
"(10287, 8814)",10287,none,none,8814,[5386],machine-learning dataset statistics correlation deep-learning
"(10291, 24619)",10291,[6255],machine-learning statistics,24619,none,none
"(10310, 41525)",10310,none,none,41525,[24794],python pandas
"(10327, 41052)",10327,"[6189, 6414, 6420]",machine-learning python machine-learning scalability scikit-learn apache-spark machine-learning deep-learning apache-spark,41052,none,none
"(10337, 10104)",10337,[6247],python clustering scikit-learn,10104,none,none
"(10343, 63430)",10343,none,none,63430,[41857],machine-learning data-mining books
"(10345, 31747)",10345,"[6500, 6887, 8083, 8147, 8186, 8478, 10360, 10668, 11797, 11987]",r r r ggplot2 r r bigdata r data-cleaning r sql r dataset data-cleaning data python pandas r dataset data-cleaning json,31747,none,none
"(10356, 1208)",10356,none,none,1208,[600],algorithms
"(10362, 38476)",10362,none,none,38476,[22590],statistics
"(10372, 61639)",10372,none,none,61639,[54865],deep-learning lstm multiclass-classification hierarchical-data-format
"(10391, 9966)",10391,none,none,9966,[6004],data-mining text-mining feature-selection feature-extraction
"(10392, 8814)",10392,none,none,8814,[5386],machine-learning dataset statistics correlation deep-learning
"(10396, 73107)",10396,[9222],deep-learning convnet autoencoder,73107,none,none
"(10412, 12595)",10412,none,none,12595,[15684],dataset similarity evaluation distance
"(10427, 57040)",10427,[6342],python clustering data,57040,none,none
"(10431, 75671)",10431,none,none,75671,[53435],deep-learning cnn terminology
"(10437, 17704)",10437,[6292],graphs social-network-analysis,17704,none,none
"(10461, 31043)",10461,none,none,31043,[37738],machine-learning neural-network deep-learning data learning
"(10464, 32972)",10464,[11375],machine-learning recommender-system,32972,none,none
"(10465, 13079)",10465,[6328],python,13079,none,none
"(10477, 13630)",10477,none,none,13630,[8660],neural-network deep-learning autoencoder
"(10522, 8601)",10522,"[6511, 6910, 6911, 8838, 26446, 26454, 26661, 26669, 26713, 26714, 26902, 33486, 48443]",linear-regression machine-learning apache-hadoop map-reduce apache-hadoop databases map-reduce sas classification recommender-system cosine-distance apache-spark graphs neo4j python scikit-learn cross-validation cross-validation classification scikit-learn supervised-learning machine-learning pca recommender-system matrix-factorisation python predictive-modeling time-series numerical monte-carlo,8601,none,none
"(10531, 2519)",10531,[6384],machine-learning classification,2519,none,none
"(10545, 40418)",10545,[6394],data-cleaning databases,40418,none,none
"(10549, 28730)",10549,"[6398, 8704]",python pandas linear-regression cosine-distance,28730,none,none
"(10584, 32848)",10584,"[6410, 6433, 9915, 10178, 12846]",neural-network matlab neural-network matlab linear-regression python statistics pandas statistics distributed,32848,none,none
"(10590, 2781)",10590,none,none,2781,[866],machine-learning r
"(10596, 8804)",10596,[6423],data-mining,8804,none,none
"(10601, 237)",10601,none,none,237,"[564, 5408, 30310]",visualization javascript clustering k-means machine-learning deep-learning research
"(10604, 14439)",10604,none,none,14439,[57615],algorithms prediction supervised-learning tfidf
"(10605, 18612)",10605,none,none,18612,[11893],python time-series anomaly-detection sequential-pattern-mining
"(10608, 52033)",10608,[6608],dataset apache-hadoop,52033,none,none
"(10620, -1)",10620,"[8138, 8593, 45570]",machine-learning r nlp machine-learning outlier unsupervised-learning probability distribution,-1,none,none
"(10624, 43681)",10624,none,none,43681,"[25924, 49108]",python bigdata pandas jupyter python pandas regex
"(10627, -1)",10627,[6438],machine-learning optimization,-1,none,none
"(10637, 24420)",10637,none,none,24420,[14053],r
"(10640, 38455)",10640,"[25714, 25717, 26938, 27010, 38691]",reinforcement-learning terminology python reinforcement-learning reinforcement-learning reinforcement-learning reinforcement-learning,38455,none,none
"(10655, 59372)",10655,none,none,59372,"[38531, 38771, 38867]",predictive-modeling recommender-system machine-learning predictive-modeling recommender-system r predictive-modeling random-forest machine-learning-model rstudio
"(10683, 5154)",10683,"[8622, 8789]",data tools regression,5154,none,none
"(10709, 60784)",10709,[38546],machine-learning bigdata,60784,none,none
"(10715, 6433)",10715,none,none,6433,"[27687, 29337, 37750, 55774]",training word-embeddings performance embeddings text-mining named-entity-recognition research annotation metric scikit-learn ensemble-modeling ensemble-learning neural-network deep-learning classification
"(10740, 8752)",10740,none,none,8752,"[12355, 13904, 24554]",machine-learning svm scikit-learn predictive-modeling forecast lstm
"(10751, 9446)",10751,"[6490, 15960]",parameter dataset optimization,9446,none,none
"(10761, 14354)",10761,[6492],r clustering k-means,14354,none,none
"(10768, 60796)",10768,none,none,60796,"[58022, 58346]",neural-network deep-learning cnn image-classification image-classification
"(10778, 339)",10778,none,none,339,"[227, 228, 8402]",bigdata efficiency apache-hadoop distributed bigdata apache-hadoop apache-spark
"(10803, 60946)",10803,none,none,60946,[39859],scikit-learn decision-trees
"(10811, 1267)",10811,[6530],machine-learning python,1267,none,none
"(10814, 62114)",10814,"[44707, 49504]",python data json wolfram-language visualization matplotlib wolfram-language,62114,none,none
"(10834, 27463)",10834,[11117],python visualization javascript weka,27463,none,none
"(10836, 7975)",10836,[6550],machine-learning data-mining,7975,none,none
"(10837, 1273)",10837,none,none,1273,"[636, 685]",machine-learning bigdata data-mining dataset data-cleaning machine-learning data-mining r logistic-regression gradient-descent
"(10848, 21473)",10848,none,none,21473,[13304],statistics ab-test experiments
"(10870, 458)",10870,[46780],classification categorical-data word-embeddings aggregation data-stream-mining,458,none,none
"(10876, 10464)",10876,none,none,10464,[11375],machine-learning recommender-system
"(10879, 64512)",10879,"[6576, 11121, 14102, 14152]",beginner career bigdata data python scikit-learn naive-bayes-classifier machine-learning svm naive-bayes-classifier,64512,none,none
"(10882, 77846)",10882,[6578],classification,77846,none,none
"(10892, 43330)",10892,none,none,43330,[25675],time-series cross-validation
"(10896, 18696)",10896,none,none,18696,[11760],regression
"(10902, 20873)",10902,"[13759, 13763, 14541, 14765]",r r python visualization social-network-analysis python scikit-learn svm,20873,[12413],machine-learning beginner linear-regression
"(10913, 10992)",10913,none,none,10992,[15055],data-mining text-mining data-cleaning
"(10915, 28605)",10915,"[9440, 12799, 16164]",machine-learning python scikit-learn scikit-learn pandas xgboost python scikit-learn graphical-model manifold,28605,none,none
"(10923, 66814)",10923,none,none,66814,[44845],python feature-selection correlation
"(10924, 21936)",10924,none,none,21936,[13083],visualization tsne
"(10947, 41372)",10947,[29345],deep-learning convnet rnn,41372,none,none
"(10964, 32337)",10964,[6623],data-mining dataset,32337,none,none
"(10982, 16853)",10982,none,none,16853,"[10706, 11993, 12202, 24720, 26751, 39643]",classification scikit-learn multiclass-classification unbalanced-classes random-forest decision-trees data-mining competitions overfitting xgboost ranking machine-learning classification semi-supervised-learning neural-network gradient-descent
"(10992, 14448)",10992,[15055],data-mining text-mining data-cleaning,14448,none,none
"(10996, 23673)",10996,none,none,23673,[13882],career definitions
"(11006, 109)",11006,none,none,109,[125],nosql
"(11011, 76546)",11011,none,none,76546,[55663],feature-engineering feature-construction features
"(11050, 31580)",11050,none,none,31580,[18595],machine-learning
"(11062, 70894)",11062,[11836],machine-learning python classification scikit-learn,70894,none,none
"(11082, 12435)",11082,[6691],machine-learning nlp social-network-analysis sentiment-analysis,12435,none,none
"(11097, 53077)",11097,"[8244, 8606, 8909, 8941, 9000, 9364, 9865, 11945, 13266, 22191, 22335, 22348, 23376, 27286, 41302, 46648]",databases tools r python optimization machine-learning neural-network julia community reference-request r python xgboost nlp text-mining regression machine-learning svm gpu distributed pytorch machine-learning terminology feature-selection terminology nlp computer-vision python computer-vision ocr nlp language-model representation,53077,none,none
"(11124, 58479)",11124,"[6715, 6809, 8271, 19726]",python clustering clusters anomaly-detection python clustering scikit-learn clusters dbscan regression decision-trees accuracy binary classifier,58479,none,none
"(12162, 64002)",12162,none,none,64002,[42356],regression linear-regression
"(12191, 24792)",12191,none,none,24792,"[15181, 22776, 27217, 51715]",neural-network neural-network normalization labels neural-network recurrent-neural-net sequence-to-sequence attention-mechanism regression sampling
"(12206, 32784)",12206,"[6768, 8850, 9945, 10585, 15070, 15098, 15535, 17134, 17135, 17286, 17287, 17350, 17567, 17877, 20045, 28497]",machine-learning python svm scikit-learn machine-learning python neural-network distributed machine-learning r gpu machine-learning neural-network statistics data machine-learning neural-network convnet terminology machine-learning python neural-network convnet theano machine-learning classification neural-network convnet regularization machine-learning neural-network convnet rnn python tensorflow convnet performance gpu machine-learning neural-network convnet parameter-estimation gpu machine-learning neural-network convnet machine-learning dataset bigdata data audio-recognition machine-learning neural-network time-series rnn machine-learning neural-network deep-learning convnet gpu machine-learning classification image-classification computer-vision javascript machine-learning neural-network deep-learning,32784,none,none
"(12215, 73107)",12215,[57127],neural-network cnn,73107,none,none
"(12217, 10205)",12217,[28272],deep-learning rnn lstm,10205,none,none
"(12219, 20722)",12219,[6774],python markov-process,20722,"[12354, 12895]",machine-learning data-mining data-cleaning mongodb json machine-learning classification data-cleaning preprocessing survival-analysis
"(12223, 68413)",12223,none,none,68413,"[46228, 47984, 49643]",neural-network multilabel-classification mnist machine-learning unsupervised-learning density-estimation python tensorflow
"(12240, 13079)",12240,[6760],nlp topic-model,13079,none,none
"(12253, 58189)",12253,none,none,58189,[45409],python tensorflow gradient-descent
"(12261, 13034)",12261,none,none,13034,"[9966, 10448]",data-mining visualization machine-learning bigdata predictive-modeling time-series optimization
"(12281, 39229)",12281,none,none,39229,[23014],information-retrieval ocr
"(12302, 3271)",12302,[12165],python optimization,3271,none,none
"(12314, 20396)",12314,[6817],classification,20396,none,none
"(12320, 8752)",12320,none,none,8752,"[12355, 13904, 24554]",machine-learning svm scikit-learn predictive-modeling forecast lstm
"(12321, 4941)",12321,[8240],nlp,4941,none,none
"(12326, 4910)",12326,none,none,4910,[2398],machine-learning python
"(12336, 10947)",12336,none,none,10947,[29345],deep-learning convnet rnn
"(12350, 51122)",12350,"[6838, 6988]",machine-learning classification random-forest svm machine-learning data-mining,51122,none,none
"(12353, 33530)",12353,none,none,33530,[22564],machine-learning deep-learning tensorflow random-forest
"(12354, 339)",12354,none,none,339,"[227, 228, 8402]",bigdata efficiency apache-hadoop distributed bigdata apache-hadoop apache-spark
"(12356, 26770)",12356,[6842],python scikit-learn cross-validation,26770,none,none
"(12364, 14161)",12364,[6851],bigdata,14161,none,none
"(12370, 31043)",12370,none,none,31043,[37738],machine-learning neural-network deep-learning data learning
"(12378, 17157)",12378,"[8818, 9525, 10031, 11391]",knowledge-base nlp deep-learning word-embeddings unsupervised-learning word2vec nlp similarity,17157,none,none
"(12384, 458)",12384,[8638],feature-extraction sequence,458,none,none
"(12393, 73733)",12393,none,none,73733,[51499],xgboost
"(12399, 17159)",12399,none,none,17159,[10780],scikit-learn pandas cross-validation
"(12406, 43855)",12406,none,none,43855,[36670],gan
"(12425, 49762)",12425,none,none,49762,[29775],machine-learning deep-learning data-cleaning preprocessing
"(12438, 13110)",12438,[6899],algorithms,13110,none,none
"(12448, 65120)",12448,"[22644, 22711, 23703]",machine-learning neural-network deep-learning tensorflow machine-learning classification deep-learning machine-translation algorithms probability naive-bayes-classifier,65120,none,none
"(12454, 15203)",12454,[6904],machine-learning neural-network,15203,none,none
"(12473, 61595)",12473,"[6814, 6835, 8117, 8802]",machine-learning dataset recommender-system machine-learning dataset recommender-system machine-learning nlp word-embeddings machine-learning multitask-learning backpropagation theano,61595,none,none
"(12479, 61535)",12479,none,none,61535,"[41538, 41855, 41947]",feature-selection mutual-information machine-learning feature-selection machine-learning
"(12488, 15325)",12488,none,none,15325,"[9735, 10654, 15710, 25494, 27056, 27277, 31307]",scikit-learn decision-trees ensemble-modeling text-mining similarity scikit-learn genetic-algorithms neural-network deep-learning machine-learning neural-network deep-learning convnet vgg16 convnet image-classification computer-vision object-detection faster-rcnn neural-network keras text-mining lstm word2vec
"(12490, 9966)",12490,none,none,9966,[6004],data-mining text-mining feature-selection feature-extraction
"(12496, -1)",12496,[27671],unbalanced-classes text smote,-1,none,none
